ID,Title,Blueprint,SqFt,Lot Size,Year Built,Property Type,Status,Distressed,Short Sale,HOA/COA,Owner Type,Owner Status,Occupancy,Length of Ownership,Purchase Method,County,Estimated Value
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 10,"1,225",7,2022,Commercial Condominium (not offices),Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,2 Years 9 Months,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 11,"7,993","41,600",2017,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,4 Years 11 Months,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 12,"3,704","7,417",2016,Single Family Residential,Off Market,No,No,No,Trust,Non-Owner Occupied,Occupied,9 Years,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 13,N/A,"136,822",N/A,Commercial-Vacant Land,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Denton,
14,"6726 Main St
Frisco, TX 75033",Primary,"11,966","37,897",1968,Commercial (General),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,20 Years 7 Months,Financed,Collin,N/A
14,"6726 Main St
Frisco, TX 75033",Blueprint 1,"7,784","31,929",2017,Commercial Office (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
14,"6726 Main St
Frisco, TX 75033",Blueprint 2,N/A,"9,148",N/A,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
14,"6726 Main St
Frisco, TX 75033",Blueprint 3,"11,966","37,897",1968,Commercial (General),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,20 Years 7 Months,Financed,Collin,
15,"5850 Town and Country Blvd #301
Frisco, TX 75034",Primary,"1,172","167,706",2003,Commercial Condominium (not offices),On Market,No,No,No,Mixed,Non-Owner Occupied,Occupied,20 Years 11 Months,Financed,Collin,N/A
15,"5850 Town and Country Blvd #301
Frisco, TX 75034",Blueprint 1,"1,172","167,706",2003,Commercial Condominium (not offices),On Market,No,No,No,Mixed,Non-Owner Occupied,Occupied,20 Years 11 Months,Financed,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Primary,"1,230","186,915",2017,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 1,"4,453","12,991",2004,Single Family Residential,Off Market,No,No,No,Trust,Owner Occupied,Occupied,19 Years 4 Months,Financed,Collin,
